authIdHalFullName_fs	authIdHalFullName_fs	halId_s	docType_s	producedDateY_i	fileMain_s	doiId_s
Lilian Loubet,Arnaud Serry	"c(""loubet-lilian_FacetSep_Lilian Loubet"", ""arnaudserry_FacetSep_Arnaud Serry"")"	hal-03824198	ART	2022	https://normandie-univ.hal.science/hal-03824198/document	10.7225/toms.v11.n02.007
Lilian Loubet,Arnaud Serry	"c(""loubet-lilian_FacetSep_Lilian Loubet"", ""arnaudserry_FacetSep_Arnaud Serry"")"	hal-03395996	OUV	2021	https://hal.science/hal-03395996/document	NA
Arnaud Serry	arnaudserry_FacetSep_Arnaud Serry	tel-04424725	HDR	2023	https://normandie-univ.hal.science/tel-04424725/document	NA
Mathilde Guillemois,Daniel Delahaye,Romain Reulier	"c(""_FacetSep_Mathilde Guillemois"", ""_FacetSep_Daniel Delahaye"", ""romain-reulier_FacetSep_Romain Reulier"")"	hal-04417307	ART	2023	https://hal.science/hal-04417307/document	10.4000/cybergeo.40656
Thomas Roulland	_FacetSep_Thomas Roulland	tel-03827251	THESE	2022	https://theses.hal.science/tel-03827251/document	NA
Ralph Zoghaib	_FacetSep_Ralph Zoghaib	tel-03635142	THESE	2021	https://theses.hal.science/tel-03635142/document	NA
Joël Colloc,Relwende Aristide Yameogo,Peter Summons,Lilian Loubet,Jean-Bernard Cavelier,Paul Bridier	"c(""thx036976580304_FacetSep_Joël Colloc"", ""relwende-aristide-yameogo_FacetSep_Relwende Aristide Yameogo"", ""_FacetSep_Peter Summons"", ""loubet-lilian_FacetSep_Lilian Loubet"", ""_FacetSep_Jean-Bernard Cavelier"", ""_FacetSep_Paul Bridier"")"	hal-03586734	ART	2022	https://hal.science/hal-03586734/document	10.3390/a15020066
Arnaud Serry,Margaux Pasquier	"c(""arnaudserry_FacetSep_Arnaud Serry"", ""_FacetSep_Margaux Pasquier"")"	hal-03445948	COUV	2021	https://normandie-univ.hal.science/hal-03445948/document	NA
Guillaume Thirard	_FacetSep_Guillaume Thirard	tel-03652963	THESE	2022	https://theses.hal.science/tel-03652963/document	NA
Sandra Gaviria	sandra-gaviria_FacetSep_Sandra Gaviria	hal-03594929	OTHER	2022	https://hal.science/hal-03594929/document	NA
Florent Amat,Christophe Imbert,Guillaume Le Roux	"c(""florent-amat_FacetSep_Florent Amat"", ""_FacetSep_Christophe Imbert"", ""guillaume-le-roux_FacetSep_Guillaume Le Roux"")"	hal-03457628	COUV	2021	https://hal.science/hal-03457628/document	10.48390/5jfy-w535
François Guiziou	francois-guiziou_FacetSep_François Guiziou	hal-04314406	COUV	2023	https://hal.science/hal-04314406/document	NA
Florent Amat,Christophe Imbert,Guillaume Le Roux	"c(""florent-amat_FacetSep_Florent Amat"", ""_FacetSep_Christophe Imbert"", ""guillaume-le-roux_FacetSep_Guillaume Le Roux"")"	hal-03457640	COUV	2021	https://hal.science/hal-03457640/document	10.48390/emw0-4853
François Guiziou	francois-guiziou_FacetSep_François Guiziou	hal-04374237	ART	2023	https://hal.science/hal-04374237/document	NA
Nathan Gouin	nathan-gouin_FacetSep_Nathan Gouin	hal-03542742	COUV	2021	https://hal.science/hal-03542742/document	10.48390/ma3t-f465
Mélanie Bourguignon,Damiens Joan,Yoann Doignon,Thierry Eggerickx,Scott Fontaine,Audrey Plavsic,Alice Rees,Ester Rizzi,Jean-Paul Sanderson,Benjamin-Samuel Schlüter	"c(""_FacetSep_Mélanie Bourguignon"", ""_FacetSep_Damiens Joan"", ""yoann-doignon_FacetSep_Yoann Doignon"", ""_FacetSep_Thierry Eggerickx"", ""_FacetSep_Scott Fontaine"", ""_FacetSep_Audrey Plavsic"", ""_FacetSep_Alice Rees"", ""_FacetSep_Ester Rizzi"", ""_FacetSep_Jean-Paul Sanderson"", ""_FacetSep_Benjamin-Samuel Schlüter"")"	halshs-03870327	ART	2022	https://shs.hal.science/halshs-03870327/document	NA
Sarah Le Hir,Philippe Vidal,Alexandre Cuvier	"c(""_FacetSep_Sarah Le Hir"", ""_FacetSep_Philippe Vidal"", ""alexandre-cuvier_FacetSep_Alexandre Cuvier"")"	hal-04106125	ART	2023	https://hal.science/hal-04106125/document	10.4000/netcom.7271
Arnaud Serry,Brigitte Daudet,Yann Alix	"c(""arnaudserry_FacetSep_Arnaud Serry"", ""brigitte-daudet_FacetSep_Brigitte Daudet"", ""_FacetSep_Yann Alix"")"	hal-04089012	OTHER	2023	https://normandie-univ.hal.science/hal-04089012/document	NA
Nathan Gouin	nathan-gouin_FacetSep_Nathan Gouin	hal-03542731	COUV	2021	https://hal.science/hal-03542731/document	10.48390/cayq-e614
Sarah Le Hir	_FacetSep_Sarah Le Hir	hal-04106142	OTHER	2022	https://hal.science/hal-04106142/document	10.4000/netcom.7274
Yoann Doignon,Mélanie Bourguignon,Damiens Joan,Thierry Eggerickx,Scott Fontaine,Audrey Plavsic,Alice Rees,Ester Rizzi,Jean-Paul Sanderson,Benjamin-Samuel Schlüter	"c(""yoann-doignon_FacetSep_Yoann Doignon"", ""_FacetSep_Mélanie Bourguignon"", ""_FacetSep_Damiens Joan"", ""_FacetSep_Thierry Eggerickx"", ""_FacetSep_Scott Fontaine"", ""_FacetSep_Audrey Plavsic"", ""_FacetSep_Alice Rees"", ""_FacetSep_Ester Rizzi"", ""_FacetSep_Jean-Paul Sanderson"", ""_FacetSep_Benjamin-Samuel Schlüter"")"	halshs-04313970	COMM	2021	https://shs.hal.science/halshs-04313970/document	NA
Nathan Gouin	nathan-gouin_FacetSep_Nathan Gouin	hal-03542746	COUV	2021	https://hal.science/hal-03542746/document	10.48390/5h1c-gc46
Fabien Bitu,Béatrice Galinon-Mélénec,Michèle Molina	"c(""fabien-bitu_FacetSep_Fabien Bitu"", ""_FacetSep_Béatrice Galinon-Mélénec"", ""_FacetSep_Michèle Molina"")"	hal-03673465	ART	2021	https://hal.science/hal-03673465/document	10.3917/anpsy1.214.0489
John Barzman	barzmanj_FacetSep_John Barzman	halshs-04224189	COUV	2023	https://shs.hal.science/halshs-04224189/document	NA
Ronan Kerbiriou	ronan-kerbiriou_FacetSep_Ronan Kerbiriou	hal-03685165	COUV	2021	https://hal.science/hal-03685165/document	NA
Arnaud Brennetot,Nathan Gouin,Franck Viroleau	"c(""abrennetot_FacetSep_Arnaud Brennetot"", ""_FacetSep_Nathan Gouin"", ""_FacetSep_Franck Viroleau"")"	hal-04127060	POSTER	2023	https://hal.science/hal-04127060/document	NA
Ronan Kerbiriou,Arnaud Serry	"c(""ronan-kerbiriou_FacetSep_Ronan Kerbiriou"", ""arnaudserry_FacetSep_Arnaud Serry"")"	hal-04042387	ART	2023	https://hal.science/hal-04042387/document	NA
Fabien Bitu,Béatrice Galinon-Mélénec,Michèle Molina	"c(""fabien-bitu_FacetSep_Fabien Bitu"", ""_FacetSep_Béatrice Galinon-Mélénec"", ""_FacetSep_Michèle Molina"")"	hal-03695638	ART	2022	https://hal.science/hal-03695638/document	10.3389/fpsyg.2022.806093
Olivier Joly,Ronan Kerbiriou	"c(""olivier-p-joly_FacetSep_Olivier Joly"", ""ronan-kerbiriou_FacetSep_Ronan Kerbiriou"")"	hal-03685137	COMM	2022	https://hal.science/hal-03685137/document	NA
Sunny Le Galloudec	sunny-le-galloudec_FacetSep_Sunny Le Galloudec	hal-03663108	ART	2021	https://normandie-univ.hal.science/hal-03663108/document	NA
John Barzman	barzmanj_FacetSep_John Barzman	halshs-04316675	ART	2023	https://shs.hal.science/halshs-04316675/document	NA
Mahmoud Fares	_FacetSep_Mahmoud Fares	tel-04455841	THESE	2024	https://hal.science/tel-04455841/document	NA
Messan Lihoussou,Lazare A Sossou-Agbo	"c(""_FacetSep_Messan Lihoussou"", ""_FacetSep_Lazare A Sossou-Agbo"")"	hal-04271443	UNDEFINED	2023	https://hal.science/hal-04271443/document	NA
Ronan Kerbiriou,Arnaud Serry	"c(""ronan-kerbiriou_FacetSep_Ronan Kerbiriou"", ""arnaudserry_FacetSep_Arnaud Serry"")"	hal-03684533	REPORT	2022	https://hal.science/hal-03684533/document	NA
Ronan Kerbiriou,Arnaud Serry	"c(""ronan-kerbiriou_FacetSep_Ronan Kerbiriou"", ""arnaudserry_FacetSep_Arnaud Serry"")"	hal-03684522	REPORT	2021	https://hal.science/hal-03684522/document	NA
Matthieu David,Olivier Cantat,Éline Gérard	"c(""matthieu-david7_FacetSep_Matthieu David"", ""olivier-cantat_FacetSep_Olivier Cantat"", ""_FacetSep_Éline Gérard"")"	hal-04047084	COMM	2022	https://hal.science/hal-04047084/document	NA
Cyrille Fauchard,Vincent Guilbert,Raphael Antoine,Cyril Ledun,Bruno Beaucamp,Olivier Maquaire,Stéphane Costa,Mohand Medjkane,Thomas Roulland	"c(""cyrille-fauchard_FacetSep_Cyrille Fauchard"", ""_FacetSep_Vincent Guilbert"", ""_FacetSep_Raphael Antoine"", ""_FacetSep_Cyril Ledun"", ""_FacetSep_Bruno Beaucamp"", ""_FacetSep_Olivier Maquaire"", ""_FacetSep_Stéphane Costa"", ""_FacetSep_Mohand Medjkane"", ""_FacetSep_Thomas Roulland"")"	hal-04099517	ART	2023	https://hal.science/hal-04099517/document	10.1007/s10346-022-02006-2
Mathilde Lebon,Delphine Grancher,Éric Daudé	"c(""_FacetSep_Mathilde Lebon"", ""delphine-grancher_FacetSep_Delphine Grancher"", ""eric-daude_FacetSep_Éric Daudé"")"	halshs-03688154	ART	2021	https://shs.hal.science/halshs-03688154/document	NA
Yoann Doignon,Elena Ambrosetti,Sara Miccoli	"c(""_FacetSep_Yoann Doignon"", ""_FacetSep_Elena Ambrosetti"", ""_FacetSep_Sara Miccoli"")"	hal-03948491	COMM	2022	https://amu.hal.science/hal-03948491/document	10.1186/s41118-021-00131-9
François Drémeaux	francois-dremeaux_FacetSep_François Drémeaux	hal-04286059	COUV	2023	https://hal.science/hal-04286059/document	NA
François Drémeaux	francois-dremeaux_FacetSep_François Drémeaux	hal-04234215	COUV	2023	https://hal.science/hal-04234215/document	NA
Florent Amat	florent-amat_FacetSep_Florent Amat	hal-04416116	COMM	2023	https://hal.science/hal-04416116/document	NA
William Berthomiere,Christophe Imbert,Bénédicte Michalon	"c(""william-berthomiere_FacetSep_William Berthomiere"", ""sc-imbert_FacetSep_Christophe Imbert"", ""michalon-benedicte_FacetSep_Bénédicte Michalon"")"	halshs-03509026	ART	2021	https://shs.hal.science/halshs-03509026/document	NA
François Drémeaux	francois-dremeaux_FacetSep_François Drémeaux	hal-04234191	BLOG	2023	https://hal.science/hal-04234191/document	NA
Monika dos Santos,Juanette John,Rebecca M Garland,Romeo Palakatsela,Arnaud Banos,Pim Martens,Bono Nemukula,Murdock Ramathuba,Faith Nkohla,Keobakile Lenyibi	"c(""_FacetSep_Monika dos Santos"", ""_FacetSep_Juanette John"", ""_FacetSep_Rebecca M Garland"", ""_FacetSep_Romeo Palakatsela"", ""arnaud-banos_FacetSep_Arnaud Banos"", ""_FacetSep_Pim Martens"", ""_FacetSep_Bono Nemukula"", ""_FacetSep_Murdock Ramathuba"", ""_FacetSep_Faith Nkohla"", ""_FacetSep_Keobakile Lenyibi"")"	hal-03627512	ART	2022	https://hal.science/hal-03627512/document	10.4102/phcfm.v14i1.3203
François Drémeaux	francois-dremeaux_FacetSep_François Drémeaux	hal-04234199	BLOG	2021	https://hal.science/hal-04234199/document	NA
Julie Bulteau,Sonia Adelé,Thierry Feuillet	"c(""julie-bulteau_FacetSep_Julie Bulteau"", ""sonia-adele_FacetSep_Sonia Adelé"", ""thierry-feuillet_FacetSep_Thierry Feuillet"")"	hal-04457711	COMM	2023	https://hal.science/hal-04457711/document	NA
